,fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,legal_type,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
1393,KRE,SPDR S&P Regional Banking ETF,Financial,SPDR State Street Global Advisors,2600000000.0,18.85,2.16,Exchange Traded Fund,Value,Medium,USD,0.35,0.38,99.96,0.0,10.71,1.13,3.32,5.45,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,3.92,-8.88,-1.5,10.24,7.19,-13.25,7.72,12.83,6.5,6.25,15.7,12.25,-0.4,-18.99,7.53,34.83,4.9,1.96,47.34,16.92,-5.66,20.04,1.0,1.97,0.7,4.98,1.52,-3.71,1.31,0.95,1.13,1.0,1.0,1.12,1.22,0.62,0.7,1.32,1.16,0.22,32.87,53.95,33.23,62.06,40.88,63.59,22.92,15.01,21.74,15.7,21.81,24.13,0.58,0.51,0.35,1.04,0.62,0.07,8.75,7.31,4.79,16.68,11.7,-1.13
1421,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Corporate Bond,iShares,33590000000.0,6.89,3.53,Exchange Traded Fund,,,USD,0.15,0.17,0.0,97.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,7.58,39.6,49.82,0.2,0.0,0.0,0.14,6.18,7.63,2.93,-0.11,6.18,1.14,5.21,7.09,3.48,4.99,3.8,4.96,6.47,6.03,-3.76,7.16,5.97,-1.08,8.57,-2.49,11.68,8.89,9.15,1.22,0.37,0.22,0.54,1.25,-1.85,1.42,1.15,1.46,1.46,1.5,1.82,0.3,0.41,0.32,0.42,0.55,0.51,80.23,73.11,77.3,67.18,69.12,67.47,4.69,3.47,4.74,4.64,5.13,7.1,0.49,1.43,0.64,1.13,1.2,0.74,1.58,4.51,2.06,4.08,4.17,2.85
1537,OIL,iPath Series B S&P GSCI Crude Oil Total Return Index ETN,Commodities Energy,Milleis Investissements Funds,101140000.0,41.69,0.0,Exchange Traded Fund,,,USD,0.75,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.19,5.7,4.56,4.48,29.19,-3.97,-3.95,-17.63,0.0,-26.81,0.0,-17.55,0.0,-16.57,-20.85,3.63,,,,,,,,0.0,-2.27,0.0,-3.19,0.0,-10.41,0.0,1.5,0.0,1.35,0.0,1.45,0.0,-2.06,0.0,-1.19,0.0,-0.98,0.0,69.96,0.0,62.36,0.0,67.32,0.0,32.99,0.0,29.88,0.0,34.82,0.0,-0.81,0.0,-0.5,0.0,-0.36,0,-18.06,0.0,-14.43,0.0,-11.94
1869,SDS,ProShares UltraShort S&P500,Trading - Inverse Equity,ProShares,985160000.0,-26.5,1.68,Exchange Traded Fund,,,USD,0.9,0.92,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.23,0.0,-3.5,0.0,-22.23,0.0,-17.49,0.0,-23.53,0.0,-21.46,0.0,-30.39,0.0,5.86,-31.94,-24.03,-9.61,-25.73,-45.16,-29.8,-19.06,-32.04,-2.35,,-3.02,,-4.37,,-1.94,,-1.91,,-1.89,,-2.04,,-1.81,,-2.72,,99.6,,99.62,,99.24,,20.98,,21.38,,24.1,,-1.23,,-1.05,,-1.38,,12.76,,11.68,,16.28,
1883,SH,ProShares Short S&P500,Trading - Inverse Equity,ProShares,1820000000.0,-14.51,1.38,Exchange Traded Fund,,,USD,0.89,0.92,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.42,0.0,-1.66,0.0,-11.42,0.0,-7.53,0.0,-11.73,0.0,-10.67,0.0,-15.76,0.0,4.87,-17.33,-12.38,-4.18,-13.67,-25.81,-15.79,-7.95,-16.5,-1.38,,-1.57,,-2.0,,-0.98,,-0.97,,-0.96,,-0.99,,-0.89,,-1.35,,99.82,,99.82,,99.68,,10.6,,10.86,,12.28,,-1.25,,-1.06,,-1.36,,13.28,,11.85,,16.76,
1906,SLV,iShares Silver Trust,Commodities Precious Metals,iShares,4670000000.0,-3.16,0.0,Exchange Traded Fund,,,USD,0.5,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.34,25.03,-3.08,1.17,-2.34,1.76,-7.98,18.43,-1.15,-4.15,-5.72,-6.54,1.04,6.83,-8.76,3.33,16.93,-13.9,-18.52,-35.22,5.75,-8.45,79.44,-1.53,2.3,-2.26,0.51,5.07,10.03,0.25,0.32,0.29,0.58,1.01,0.64,0.06,-0.2,-0.36,-0.35,0.47,0.83,2.6,7.78,5.2,16.64,27.58,24.88,19.86,19.57,19.08,22.66,31.1,24.61,-0.03,-0.12,-0.27,-0.19,0.17,0.39,-9.44,-12.56,-23.45,-11.65,0.46,11.76
1968,SPY,SPDR S&P 500 ETF,Large Blend,SPDR State Street Global Advisors,264060000000.0,17.06,1.85,Exchange Traded Fund,Blend,Large,USD,0.09,0.36,99.54,0.0,17.05,2.97,2.02,8.8,2.46,11.9,13.75,2.5,7.76,14.49,3.33,3.56,5.43,11.88,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52,7.5,1.81,-0.25,13.52,3.2,9.44,13.45,13.38,10.14,10.78,15.76,15.83,7.33,-4.45,21.69,11.8,1.34,13.53,32.21,15.84,2.06,14.93,-0.07,-0.65,-0.08,-0.48,-0.08,0.15,1.0,0.98,1.0,1.0,1.0,1.0,1.1,0.86,0.91,1.28,1.3,0.69,100.0,94.06,100.0,95.34,100.0,96.99,10.7,10.9,11.16,11.38,12.65,15.42,1.11,0.94,0.9,1.34,1.19,0.48,12.14,10.38,10.02,15.73,15.38,6.54
2128,USO,"United States Oil Fund, LP",Commodities Energy,USCF Investments,1550000000.0,37.4,0.0,Exchange Traded Fund,,,USD,0.73,0.81,0.0,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,5.7,4.6,4.48,29.4,-3.97,-4.51,-17.63,8.82,-26.81,-19.33,-17.55,-8.09,-16.57,-20.64,3.19,6.18,-45.3,-42.8,5.42,-12.22,-2.29,-0.5,3.54,-2.27,1.7,-3.19,-4.8,-10.41,1.95,1.5,1.86,1.35,1.49,1.45,1.04,-2.06,-1.33,-1.19,-0.35,-0.98,73.33,69.96,76.85,62.36,66.92,67.32,28.73,32.99,32.27,29.88,29.39,34.82,0.39,-0.81,-0.52,-0.5,-0.16,-0.36,3.78,-18.06,-10.84,-14.43,-5.79,-11.94
2180,VGK,Vanguard FTSE Europe Index Fund ETF Shares,Europe Stock,Vanguard,19040000000.0,13.6,3.63,Exchange Traded Fund,Blend,Large,USD,0.09,0.44,97.64,0.0,13.56,1.55,1.1,7.64,7.85,10.75,18.39,2.68,13.62,12.7,3.97,3.27,7.76,12.89,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.76,0.72,10.9,5.55,-4.47,3.94,6.86,0.3,1.34,8.18,9.3,1.23,-14.79,27.06,-0.59,-1.87,-6.56,24.93,21.01,-11.49,5.01,-1.26,0.41,-1.07,2.25,0.04,-0.65,1.03,1.03,0.97,0.99,1.07,1.07,0.61,0.12,0.18,0.76,0.87,0.3,87.96,77.47,88.06,81.23,92.86,90.5,11.64,14.89,12.37,15.69,17.55,21.6,0.52,0.09,0.1,0.57,0.57,0.13,5.39,0.63,0.56,8.36,8.26,0.38
2203,VNQ,Vanguard Real Estate Index Fund ETF Shares,Real Estate,Vanguard,63760000000.0,16.29,3.96,Exchange Traded Fund,Blend,Medium,USD,0.12,0.37,98.75,0.0,37.29,2.49,5.0,10.23,2.07,0.0,0.0,87.56,0.0,0.0,0.0,9.47,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.37,12.94,4.21,-1.43,17.37,0.15,20.13,19.51,5.74,12.81,8.79,14.73,18.35,5.52,-5.95,4.95,8.53,2.37,30.29,2.42,17.67,8.62,28.44,-1.45,10.06,4.86,7.76,7.44,2.68,0.71,0.53,0.63,0.66,0.9,1.1,0.54,1.09,0.79,1.24,1.55,0.74,26.83,19.04,22.78,29.17,43.94,51.72,13.82,14.47,14.64,15.07,19.01,26.06,0.38,0.9,0.59,0.98,0.96,0.31,6.25,25.71,12.64,22.64,19.75,4.26
