,fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,legal_type,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
2229,VTI,Vanguard Total Stock Market Index Fund ETF Shares,Large Blend,Vanguard,772720000000.0,17.71,1.94,Exchange Traded Fund,Blend,Large,USD,0.03,0.36,99.08,0.0,17.08,2.75,1.85,8.59,2.78,12.13,15.12,3.92,7.05,14.14,3.24,3.26,5.1,10.86,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.5,1.42,-0.25,14.0,3.2,8.82,13.45,13.54,10.14,10.34,15.76,16.11,7.33,-5.13,21.16,12.68,0.4,12.56,33.51,16.41,1.06,17.26,-0.3,-0.65,-0.71,-0.48,-0.35,0.15,1.03,0.98,1.02,1.0,1.04,1.0,1.11,0.86,0.88,1.28,1.32,0.69,99.12,94.06,98.89,95.34,99.22,96.99,11.1,10.9,11.5,11.38,13.19,15.42,1.08,0.94,0.85,1.34,1.17,0.48,11.88,10.38,9.33,15.73,15.08,6.54
2239,VWO,Vanguard FTSE Emerging Markets Index Fund ETF Shares,Diversified Emerging Mkts,Vanguard,86960000000.0,13.34,2.57,Exchange Traded Fund,Blend,Large,USD,0.12,0.56,96.37,0.0,11.89,1.54,1.21,4.61,8.19,11.65,24.59,4.45,6.54,2.98,3.01,4.57,8.02,5.96,20.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,14.83,2.31,1.01,11.77,7.04,-7.09,15.54,9.89,-2.18,3.64,1.65,8.66,3.59,-14.57,31.38,11.75,-15.35,0.6,-5.0,18.84,-18.68,18.99,1.87,-1.88,1.2,-4.3,-0.66,2.04,1.0,1.1,1.08,1.09,1.11,1.18,0.85,-0.07,0.39,0.27,0.84,0.55,68.76,68.99,74.78,75.69,84.35,84.99,12.76,16.8,15.0,17.83,19.01,24.73,0.7,-0.06,0.26,0.18,0.51,0.24,8.56,-2.11,2.59,1.47,7.38,2.33
2293,XHB,SPDR S&P Homebuilders ETF,Consumer Cyclical,SPDR State Street Global Advisors,688480000.0,24.83,1.08,Exchange Traded Fund,Blend,Medium,USD,0.35,0.45,99.91,0.0,13.05,2.08,0.88,2.12,16.54,59.18,0.0,0.0,2.04,0.0,0.0,0.0,0.0,18.8,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,-0.65,0.72,-2.32,18.84,-3.49,-4.4,-3.67,5.37,3.31,4.22,12.71,14.79,6.08,-25.65,31.66,-0.23,0.6,3.16,25.5,57.53,-0.88,17.51,-7.01,0.52,-1.99,4.97,1.88,3.29,1.32,0.99,1.14,0.96,1.19,0.95,0.56,0.35,0.48,1.09,1.37,0.69,61.48,59.74,50.3,60.32,50.12,61.92,16.87,14.63,17.79,14.55,23.35,21.28,0.32,0.32,0.28,0.92,0.68,0.38,3.11,3.61,3.02,13.7,12.01,5.89
2301,XLB,Materials Select Sector SPDR Fund,Natural Resources,SPDR State Street Global Advisors,4120000000.0,13.42,2.03,Exchange Traded Fund,Blend,Large,USD,0.13,0.48,99.95,0.0,16.08,2.2,1.68,9.44,87.89,10.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,20.41,1.25,0.47,10.33,5.46,-0.52,22.79,9.52,-1.54,5.33,3.2,12.04,3.69,-14.77,23.96,16.63,-8.61,7.31,25.82,14.75,-10.98,20.39,-0.91,-7.11,-1.45,-9.35,-1.42,-0.04,1.01,1.32,1.15,1.33,1.19,1.28,0.82,0.03,0.53,0.42,1.09,0.59,71.48,61.16,70.7,65.69,78.66,75.15,11.9,20.01,15.1,20.72,18.63,25.59,0.71,0.05,0.36,0.31,0.68,0.26,8.17,-0.95,3.94,3.06,9.77,2.49
2302,XLE,Energy Select Sector SPDR Fund,Equity Energy,SPDR State Street Global Advisors,13820000000.0,16.57,3.13,Exchange Traded Fund,Blend,Large,USD,0.13,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,12.43,2.13,-4.33,16.2,2.1,1.16,-2.23,5.28,-13.55,-3.09,-5.33,6.96,1.18,-18.11,-1.01,27.95,-21.47,-8.61,26.16,5.17,2.98,21.7,-5.73,-16.86,-9.33,-14.03,-5.04,-1.08,1.21,1.43,1.2,1.34,1.12,1.2,0.58,-0.96,-0.1,-0.23,0.73,0.42,40.72,39.8,45.9,44.54,60.31,57.66,19.02,25.84,19.69,23.59,20.1,27.21,0.3,-0.39,-0.1,-0.09,0.41,0.16,3.28,-8.63,-3.22,-3.67,5.78,0.59
2303,XLF,Financial Select Sector SPDR Fund,Financial,SPDR State Street Global Advisors,22130000000.0,16.96,2.05,Exchange Traded Fund,Value,Large,USD,0.13,0.38,99.88,0.0,11.51,1.31,2.1,5.21,0.0,0.0,86.97,0.0,0.0,0.0,0.0,0.0,0.0,13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,3.92,-2.56,-1.5,8.48,7.19,-4.84,7.72,6.4,6.5,4.59,15.7,12.94,-0.4,-13.08,22.03,22.55,-1.6,15.02,35.37,28.53,-17.16,11.97,3.32,1.97,3.1,4.98,2.45,-3.71,1.05,0.95,1.0,1.0,1.12,1.12,1.2,0.62,0.83,1.32,1.35,0.22,45.22,53.95,54.5,62.06,70.41,63.59,15.59,15.01,14.98,15.7,18.6,24.13,0.84,0.51,0.61,1.04,0.85,0.07,12.24,7.31,8.44,16.68,13.46,-1.13
2305,XLI,Industrial Select Sector SPDR Fund,Industrials,SPDR State Street Global Advisors,10240000000.0,20.98,2.01,Exchange Traded Fund,Blend,Large,USD,0.13,0.46,99.92,0.0,16.08,4.11,1.61,5.13,0.52,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.69,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.16,9.41,-1.15,-1.83,17.16,-0.59,3.13,5.78,12.87,5.21,9.69,12.3,17.48,7.39,-13.09,23.85,19.93,-4.27,10.44,40.44,14.86,-1.01,27.62,-0.2,2.18,2.81,4.61,4.61,3.86,1.3,0.98,1.1,0.94,1.05,1.01,1.11,0.49,0.86,1.04,1.46,0.76,72.97,67.62,72.09,64.78,76.86,77.78,15.26,13.53,14.39,13.57,16.66,19.53,0.78,0.46,0.66,0.96,1.02,0.43,8.89,5.69,8.06,13.86,16.17,6.66
2306,XLK,Technology Select Sector SPDR Fund,Technology,SPDR State Street Global Advisors,19430000000.0,27.19,1.36,Exchange Traded Fund,Growth,Large,USD,0.13,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,19.78,11.18,4.77,-2.88,19.78,3.1,14.78,10.77,20.44,13.17,17.22,14.36,18.77,8.68,-1.56,34.27,14.81,5.62,17.75,25.98,15.47,2.69,11.6,8.61,9.46,9.82,5.86,7.44,5.19,1.04,1.1,1.04,1.05,0.88,1.04,1.64,1.13,1.41,1.22,1.53,0.88,56.33,63.2,68.48,62.13,71.13,72.67,13.94,15.69,13.97,15.41,14.56,20.82,1.32,0.86,1.16,0.95,1.23,0.48,18.36,11.9,15.73,13.74,20.77,7.7
2307,XLP,Consumer Staples Select Sector SPDR Fund,Consumer Defensive,SPDR State Street Global Advisors,10820000000.0,12.84,2.75,Exchange Traded Fund,Value,Large,USD,0.13,0.42,99.85,0.0,17.08,3.92,1.34,14.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,5.8,3.82,-1.71,11.1,-4.2,9.8,6.28,4.68,9.06,8.28,13.07,13.33,9.55,-8.02,12.91,5.0,6.84,15.86,26.28,10.74,14.02,13.84,-1.41,6.81,4.43,7.85,6.81,6.61,0.57,0.64,0.55,0.59,0.5,0.57,0.44,0.77,0.72,1.07,1.1,0.83,24.78,44.58,30.29,42.87,41.56,62.69,11.55,10.83,11.13,10.52,10.72,12.2,0.34,0.85,0.7,1.22,1.18,0.75,5.93,14.76,13.5,23.2,25.95,15.63
2309,XLU,Utilities Select Sector SPDR Fund,Utilities,SPDR State Street Global Advisors,9390000000.0,10.6,3.1,Exchange Traded Fund,Value,Large,USD,0.13,0.42,99.85,0.0,18.83,2.06,2.39,8.53,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.73,14.47,2.79,0.68,10.73,-5.19,19.09,17.36,9.02,11.18,10.72,11.07,12.71,6.63,4.02,11.94,16.06,-4.86,28.65,13.02,1.12,19.59,5.22,6.16,9.42,9.07,7.21,9.29,4.22,0.2,0.33,0.19,0.37,0.25,0.48,0.78,0.95,0.92,0.94,1.06,0.62,3.03,13.34,2.82,16.18,8.4,35.68,11.66,12.94,12.76,12.61,11.9,13.92,0.69,0.86,0.8,0.89,1.03,0.47,38.38,48.3,51.31,39.99,49.31,12.91
2310,XLV,Health Care Select Sector SPDR Fund,Health,SPDR State Street Global Advisors,19560000000.0,3.41,1.53,Exchange Traded Fund,Blend,Large,USD,0.13,0.49,99.85,0.0,15.98,3.85,1.7,13.32,0.0,0.0,0.0,0.0,0.0,99.46,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,-3.8,0.48,2.41,6.45,6.8,14.52,4.93,12.36,12.67,11.09,20.22,16.22,12.26,6.29,21.7,-2.83,6.82,25.17,41.24,17.56,12.44,2.91,1.87,8.52,5.14,10.91,7.75,9.01,1.0,0.91,0.9,0.83,0.64,0.73,1.04,1.14,0.95,1.67,1.32,1.12,60.46,38.14,59.37,42.64,51.67,47.94,12.86,17.76,12.9,16.38,12.48,18.41,0.87,0.83,0.82,1.28,1.23,0.69,11.1,14.5,11.46,24.57,24.38,15.82
2311,XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Cyclical,SPDR State Street Global Advisors,12690000000.0,22.26,1.23,Exchange Traded Fund,Growth,Large,USD,0.13,0.45,99.81,0.0,20.17,5.57,1.5,10.85,0.0,94.76,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38,-0.65,3.65,-2.32,15.38,-3.49,13.87,-3.67,14.51,3.31,13.57,12.71,20.98,6.08,1.66,22.77,5.87,9.93,9.49,42.74,23.6,5.98,27.36,2.28,0.52,6.44,4.97,8.64,3.29,1.16,0.99,1.06,0.96,0.95,0.95,1.21,0.35,1.14,1.09,1.7,0.69,77.4,59.74,76.75,60.32,72.79,61.92,13.28,14.63,13.35,14.55,15.48,21.28,0.99,0.32,0.96,0.92,1.29,0.38,11.36,3.61,12.07,13.7,21.64,5.89
2312,XME,SPDR S&P Metals and Mining ETF,Natural Resources,SPDR State Street Global Advisors,468000000.0,11.4,2.32,Exchange Traded Fund,Value,Small,USD,0.35,0.48,99.89,0.0,10.94,1.37,0.55,4.98,91.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.91,20.41,-3.61,0.47,13.91,5.46,-10.98,22.79,14.86,-1.54,-4.98,3.2,3.09,3.69,-26.16,20.22,106.15,-50.51,-25.27,-5.41,-6.53,-28.22,34.08,3.33,-7.11,-10.12,-9.35,-11.31,-0.04,1.45,1.32,1.56,1.33,1.61,1.28,1.52,0.03,0.02,0.42,0.69,0.59,22.94,61.16,27.24,65.69,47.12,75.15,30.28,20.01,33.18,20.72,32.58,25.59,0.56,0.05,-0.02,0.31,0.24,0.26,9.41,-0.95,-3.68,3.06,1.65,2.49
2317,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Equity Energy,SPDR State Street Global Advisors,2050000000.0,9.7,0.88,Exchange Traded Fund,Blend,Medium,USD,0.35,0.48,99.92,0.0,13.91,0.97,0.73,2.31,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,12.43,3.48,-4.33,16.15,2.1,-12.0,-2.23,1.26,-13.55,-14.71,-5.33,2.45,1.18,-28.22,-9.31,38.28,-35.74,-29.45,27.92,3.94,0.95,28.54,-9.53,-16.86,-21.5,-14.03,-10.85,-1.08,1.45,1.43,1.71,1.34,1.45,1.2,0.45,-0.96,-0.86,-0.23,0.57,0.42,24.7,39.8,32.2,44.54,44.58,57.66,29.33,25.84,33.28,23.59,30.32,27.21,0.14,-0.39,-0.34,-0.09,0.21,0.16,-0.04,-8.63,-9.09,-3.67,1.28,0.59
